Plant	Year	Electricity	So2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
3	90	24090.4371108344	158.680500622665	NA	424806599.865591	418.636363636364	67418.6799501868	33.7139863890411	469.922789539228	0.545454545454545
8	90	20718.3501867995	253.618727272727	NA	443317302.186656	488.545454545455	59350.6849315068	112.605230386052	0	0.545454545454545
470	90	9706.37584059776	32.4296264009963	NA	359350228.079117	114.272727272727	29245.5790784558	36.1080143820672	28.6530762141968	0.545454545454545
602	90	14847.6789539228	78.2697110834371	NA	376631848.507726	148.818181818182	42831.8804483188	239.800747198007	0	0.545454545454545
641	90	12402.1501867995	265.630864259029	NA	413800682.110712	239.545454545455	37710.8343711083	37.4792163332503	594.879202988792	0.545454545454545
708	90	9908.0801992528	129.59898879203	NA	413929564.042648	278.454545454545	30155.6662515567	60.2170725643836	0	0.545454545454545
709	90	25355.8313823163	245.402505603985	NA	308719789.680997	431.272727272727	71998.0074719801	47.1476582814446	0	0.545454545454545
728	90	13367.9526774595	221.438156911582	NA	450257279.397089	414.090909090909	40253.300124533	80.2072444518057	0	0.545454545454545
856	90	9048.75143212951	66.9264657534247	NA	439542544.187386	158.636363636364	26190.2864259029	39.1402300841843	0	0.545454545454545
861	90	9607.06351183063	287.592373599004	NA	356981944.92445	286.636363636364	29678.9539227895	43.8156075706102	0	0.545454545454545
862	90	1130.35279950187	30.2768293897883	NA	91315609.9586941	101.545454545455	3656.96139476961	22.8348962405978	0	0.545454545454545
863	90	1424.96503113325	32.9123262764633	NA	74208159.3033753	89.9090909090909	4442.81444582814	28.6002329559153	0	0.545454545454545
864	90	3063.81414694894	72.6458630136986	NA	335090719.98382	146.545454545455	9263.38729763387	182.378580323786	0	0.545454545454545
876	90	10383.9526774595	356.540132004981	NA	417683011.067176	299.181818181818	34236.6127023661	0	76.1370911581569	0.545454545454545
879	90	11365.9686176837	52.4266525529265	NA	675614349.989413	363.727272727273	38758.1569115816	0	137.423163138232	0.545454545454545
887	90	17504.8343711083	242.562881693649	NA	634875785.911593	345.454545454545	52510.5853051059	43.2377805843088	61.6836861768369	0.545454545454545
889	90	25381.5623262765	648.661509339975	NA	492322437.831394	264.090909090909	74858.2814445828	74.7614943960149	0	0.545454545454545
983	90	26165.9514321295	662.883163138232	NA	714529928.750659	390.454545454545	74576.5877957659	15.4306684767123	0	0.545454545454545
988	90	10810.6094645081	161.259870485679	NA	298719128.996805	311.909090909091	30560.1494396015	130.703914623163	0	0.545454545454545
991	90	1746.13250311333	30.1	NA	129098893.672418	99.1818181818182	5789.16562889166	66.4246916383562	0	0.545454545454545
994	90	25527.4219178082	283.188592777086	NA	377935969.313592	324.363636363636	76627.895392279	102.284685250311	0	0.545454545454545
1004	90	442.921448069738	12.8510709838107	NA	96077719.2730313	66.6363636363636	1724.54296388543	29.9236662515567	0	0.545454545454545
1008	90	6053.77875466999	126.893855541719	NA	314817861.71723	151.454545454545	18707.3474470735	146.857357907846	0	0.545454545454545
1012	90	5402.59580572852	122.777945205479	NA	160995178.771495	86.4545454545455	16800.498132005	5.2554197260274	14.712902615193	0.545454545454545
1047	90	2760.82887870486	15.8444657534247	NA	59482643.6756435	51.1818181818182	9431.68119551681	33.6792926525529	0	0.545454545454545
1250	90	4885.11830635118	12.5295367372354	NA	173948549.534093	134.909090909091	16042.0921544209	0	298.017434620174	0.545454545454545
1355	90	8587.93250311332	139.834525529265	NA	247749406.844878	149.181818181818	26414.196762142	49.3468680448319	0	0.545454545454545
1356	90	25417.8772104608	255.35103860523	NA	750464985.851094	237.363636363636	75645.5790784558	132.179327521793	0	0.545454545454545
1357	90	2444.03686176837	53.1817285180573	NA	72301786.5767688	105.272727272727	8237.01120797011	10.303400249066	0	0.545454545454545
1364	90	19582.0777085928	350.527212951432	NA	345085665.071671	418.545454545455	57978.3312577833	164.321295143213	88.5791095890411	0.545454545454545
1570	90	1173.97882938979	9.38056288916563	NA	48077325.1961812	66.3636363636364	3650.46077210461	24.1673648816936	0	0.545454545454545
1606	90	2853.7167618929	27.5108343711083	NA	52231089.1109608	68.0909090909091	8102.66500622665	7.17825372552926	0	0.545454545454545
1695	90	5271.56164383562	30.4021120797011	NA	341933028.241539	166.272727272727	15269.2403486924	31.4568597758406	17.6744707347447	0.545454545454545
1745	90	9132.1098381071	53.3374694894147	NA	525435915.657978	326.272727272727	27562.6400996264	122.267557660772	0	0.545454545454545
1943	90	800.835691158157	4.39888667496887	NA	37679424.1247297	42.2727272727273	2741.38480697385	10.1902460772105	0	0.545454545454545
2080	90	5773.99919302615	66.5830211706102	NA	97312105.2990236	157.363636363636	17363.8854296389	33.6033495183064	0	0.545454545454545
2103	90	31500.6801992528	554.790186799502	NA	624026756.705685	466.454545454545	92092.1544209215	281.549190535492	0	0.545454545454545
2107	90	10004.4266500623	197.3020249066	NA	293071594.400603	248.545454545455	30567.3723536737	34.2044129514321	0	0.545454545454545
2526	90	2038.87455666252	31.9983686176837	NA	46339302.0534817	75.2727272727273	6481.12079701121	31.3277648204234	0	0.545454545454545
2527	90	2490.25133723537	39.9232478206725	NA	120572655.370954	83.1818181818182	7697.45952677459	38.5206674968867	0	0.545454545454545
2535	90	5536.88881195517	68.6308468244085	NA	126075832.787424	89.5454545454545	15146.4508094645	14.2951278351183	0	0.545454545454545
2549	90	11232.0418430884	136.050929016189	NA	380662757.666729	291.454545454545	34070.4856787049	0	0	0.545454545454545
2554	90	9724.7103362391	146.32302615193	NA	249679620.313628	204.727272727273	28024.9066002491	26.9907618331258	0	0.545454545454545
2642	90	3439.37085927771	56.1916911581569	NA	165680981.506909	132.727272727273	10505.0062266501	40.3569056039851	0	0.545454545454545
