Plant	Year	Electricity	So2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
3	85	23301.4739726027	130.355808219178	NA	1550527100.085	430	65945.2054794521	47.9340896712329	810.41095890411	0
8	85	19321.2054794521	203.142821917808	NA	1461450160.47	511	56410.9589041096	144.602739726027	0	0
470	85	9624.64383561644	37.218301369863	NA	754930641.482	114	28682.1917808219	44.7751649589041	8.45139452054794	0
602	85	7122.04657534247	38.0283287671233	NA	998745922.295	120	20578.0821917808	224.054794520548	0	0
641	85	12122.8493150685	273.070082191781	NA	1156442643.305	221	35832.8767123288	58.5173917808219	375.808219178082	0
708	85	13340.3479452055	170.140273972603	NA	813351128.624	309	40679.4520547945	54.7332493150685	0	0
709	85	30803.5424657534	266.093150684932	NA	1343554389.774	469	81835.6164383562	39.8903342465753	0	0
728	85	18348.0301369863	346.423616438356	NA	1291051632.551	454	53471.2328767123	70.040005479452	0	0
856	85	8192.46575342466	53.2385205479452	NA	836453261.371	151	23676.7123287671	26.9953882684932	0	0
861	85	10454.5342465753	375.504383561644	NA	994819756.711	302	32654.7945205479	37.3126992	0	0
862	85	1264.87726027397	31.5998082191781	NA	395666254.254	104	4083.83561643836	16.0747468767123	0	0
863	85	2305.94821917808	55.4878356164384	NA	301749081.522	93	7031.50684931507	15.0471519780822	0	0
864	85	3730.42849315069	87.1219452054794	NA	596361124.324	147	11202.7397260274	102.493150684932	0	0
876	85	13469.0849315068	464.493315068493	NA	1199023488.794	341	44175.3424657534	0	67.5892273972603	0
879	85	16867.4849315068	97.0828767123288	NA	2537177230.137	431	54424.6575342466	0	70.3945205479452	0
887	85	17123.8657534247	289.329424657534	NA	1645140326.346	359	51802.7397260274	22.9527294739726	0	0
889	85	29350.0460273973	725.33098630137	NA	1563284845.629	264	85013.698630137	78.0187397260274	0	0
983	85	26784.9726027397	712.602219178082	NA	1543793482.948	392	76194.5205479452	10.8919232876712	0	0
988	85	9570.52876712329	177.191753424658	NA	1484115421.278	328	27728.7671232877	174	0	0
991	85	1916.58904109589	41.6132328767123	NA	502757501.293	96	6395.8904109589	98.5205479452055	0	0
994	85	18392.3424657534	229.153369863014	NA	1596959353.313	280	55060.2739726027	112.027397260274	0	0
1004	85	661.808219178082	21.0516438356164	NA	295043657.096	71	2470.95890410959	23.3155232876712	0	0
1008	85	6107.77534246575	166.881506849315	NA	648388166.217	161	18432.8767123288	74.0610739726027	0	0
1012	85	5817.04139726027	166.630082191781	NA	451025587.035	87	17717.8082191781	4.61505205479452	12.6538520547945	0
1047	85	3077.86871232877	16.3694520547945	NA	425567609.619	52	9852.05479452055	38.7757808219178	0	0
1250	85	3797.87945205479	11.6082739726027	NA	516384012.876	137	13109.5890410959	0	362.301369863014	0
1355	85	8674.73150684932	148.238246575342	NA	579584795.982	132	27172.602739726	44.3365347945205	0	0
1356	85	17790.2383561644	250.794931506849	NA	1771847382.041	228	55378.0821917808	218.493150684931	0	0
1357	85	2851.09589041096	57.7382465753425	NA	326379469.511	103	9772.60273972603	9.23677808219178	0	0
1364	85	16962.1534246575	130.929753424658	NA	1504734830.874	472	50213.698630137	146.191780821918	135.068493150685	0
1570	85	1115.60273972603	8.95608219178082	NA	265023366.129	65	3567.39726027397	27.7603890410959	0	0
1606	85	2842.11506849315	26.8045753424658	NA	171348126.301	69	8421.91780821918	11.9363199123288	0	0
1695	85	3258.47671232877	22.6825205479452	NA	679434478.708	196	9852.05479452055	39.4264931506849	0	0
1745	85	9846.39452054794	59.9139726027397	NA	1615421625.63	327	29476.7123287671	228.821917808219	0	0
1943	85	989.940547945205	11.6388493150685	NA	198129753.078	38	3519.72602739726	4.1745698630137	0	0
2080	85	5562.74345205479	241.63602739726	NA	469661501.54	157	17400	46.2653462465753	0	0
2103	85	33940.7780821918	718.440082191781	NA	2416178131.095	504	98520.5479452055	271.72602739726	0	0
2107	85	6353.97260273973	150.523534246575	NA	908364102.886	275	19783.5616438356	53.9457205479452	0	0
2526	85	2364.82657534247	40.87	NA	359951031.152	79	7754.52054794521	26.3488438356164	0	0
2527	85	3106.33987671233	54.6552876712329	NA	356343609.732	97	9931.50684931507	44.9658904109589	0	0
2535	85	4747.64136986301	66.3059452054794	NA	400877230.321	85	13030.1369863014	12.9339186410959	0	0
2549	85	11160.6136986301	133.916164383562	NA	1599520643.281	304	34323.2876712329	0	0	0
2554	85	9136.04109589041	139.758273972603	NA	905381560.472	210	27331.5068493151	0	0	0
2642	85	3913.87945205479	66.2106301369863	NA	404160627.367	134	11758.904109589	36.8403287671233	0	0
2706	85	5814.04931506849	38.0304657534247	NA	326198484.672	105	16367.1232876712	33.0788110684931	0	0
2718	85	6240.85479452055	41.2151232876712	NA	867251083.569	152	17479.4520547945	131.095890410959	0	0
2721	85	5753.07671232877	39.636904109589	NA	699950694.046	146	16208.2191780822	69.2148254958904	0	0
2727	85	25119.4383561644	160.771287671233	NA	1328920229.09	189	65786.301369863	181.150684931507	0	0
2790	85	1230.63808219178	14.2532876712329	NA	154926989.111	57	4695.61643835616	0	0	0
2850	85	40648.9671232877	458.89104109589	NA	2131401828.805	537	115205.479452055	69.7135047287671	0	0
2864	85	7181.10438356164	194.758739726027	NA	924833280.961	289	23041.095890411	16.5611493369863	0	0
2872	85	19996.5643835616	679.609616438356	NA	1645865800.122	382	55298.6301369863	208.164383561644	0	0
2876	85	21710.0547945205	592.725534246575	NA	1328458079.838	338	61416.4383561644	18.1532054794521	0	0
3098	85	3917.80273972603	8.17068493150685	NA	988415245.586	228	13427.397260274	126.328767123288	0	0
3130	85	3227.21369863014	43.0954246575342	NA	476594855.031	106	10567.1232876712	119.178082191781	0	0
3131	85	10770.6082191781	171.332876712329	NA	830793404.272	143	31939.7260273973	197.041095890411	0	0
3138	85	4856.66301369863	64.7775890410959	NA	623969839.585	173	16367.1232876712	40.1532553972603	0	0
3140	85	24487.301369863	353.278602739726	NA	1273574823.427	211	71745.2054794521	417.123287671233	0	0
3149	85	26723.2739726027	285.226246575342	NA	1286089214.472	194	73731.5068493151	427.452054794521	0	0
3178	85	6050.9698630137	84.8466301369863	NA	395625632.741	84	18035.6164383562	22.1842849315068	0	0
3297	85	8583.8904109589	81.8690136986301	NA	567099468.657	89	24868.4931506849	221.671232876712	0	0
3497	85	17344.4821917808	110.627287671233	NA	781546144.729	256	55378.0821917808	0	444.13698630137	0
3644	85	1339.25753424658	6.97835616438356	NA	251940725.202	108	4568.49315068493	23.358904109589	0	0
3775	85	9891.77808219178	50.6440273972603	NA	737017840.454	174	27093.1506849315	34.8884687506849	0	0
3776	85	3610.43287671233	25.2619452054795	NA	596554298.776	131	10408.2191780822	164.465753424658	0	0
3788	85	6554.23835616438	42.7118630136986	NA	796337475.151	206	20419.1780821918	171.616438356164	0	0
3796	85	2899.94520547945	19.9240273972603	NA	391869688.491	131	8739.72602739726	56.0613698630137	0	0
3936	85	3776.16438356164	23.0008493150685	NA	600485153.367	132	10646.5753424658	24.4607102465753	0	0
3945	85	1090.08493150685	10.6414520547945	NA	350373312.389	83	4044.1095890411	15.0564821917808	0	0
3946	85	2475.69863013699	26.2403561643836	NA	371642007.295	80	7810.13698630137	17.8795726027397	0	0
3947	85	12719.002739726	420.909424657534	NA	806486129.031	247	35832.8767123288	14.3723966630137	0	0
3948	85	23163.7643835616	275.08197260274	NA	1510438012.773	259	65865.7534246575	278.876712328767	0	0
4054	85	2943.54246575342	68.5470410958904	NA	228864817.498	61	8739.72602739726	0.470648547945205	0	0
4072	85	2822.27397260274	61.4160273972603	NA	513318322.95	160	9375.34246575342	74.6016657534247	0	0
4158	85	13372.6657534247	79.5747397260274	NA	961171523.713	308	44095.8904109589	86.6027397260274	0	0
4162	85	10948.6465753425	50.7078904109589	NA	799212089.17	255	32257.5342465753	44.3819545150685	100.904109589041	0
6002	85	13129.898630137	58.9924383561644	NA	1632418445.613	330	37263.0136986301	422.684931506849	0	0
6004	85	19697.9890410959	96.268904109589	NA	1842696373.325	257	57284.9315068493	181.945205479452	0	0
6016	85	5328.38082191781	23.4638630136986	NA	715387419.572	114	15969.8630136986	19.132764460274	0	0
6017	85	11789.8520547945	37.8938904109589	NA	1560795646.323	243	34720.5479452055	108.849315068493	0	0
6095	85	12810.4931506849	39.0618082191781	NA	992410685.72	264	38534.2465753425	17.0889104054794	0	0
6139	85	21504.002739726	93.2033698630137	NA	962464186.816	132	64197.2602739726	128.712328767123	0	0
6146	85	37963.9424657534	104.527698630137	NA	1949429978.653	700	124739.726027397	426.657534246575	0	0
6147	85	36054.2191780822	223.911506849315	NA	1446777932.631	528	117589.04109589	429.835616438356	0	0
6155	85	16162.0493150685	158.958630136986	NA	1123141428.416	270	45923.2876712329	51.2027178082192	0	0
6178	85	10965.9150684932	32.2125753424658	NA	595732057.254	121	29873.9726027397	35.2519232876712	0	0
